,0,1,2,3,4,5,6,7,8,9,10
0,SNOMED code,name,status,date introduced,fully specified name(s),synonyms,parents,children,hierarchies,ancestors,cpt crosswalks
1,50875003,Acanthamoeba,active,2002-01-31,Acanthamoeba (organism),Acanthamoeba speciesGenus: AcanthamoebaAcanthamoeba,Acanthamoebidae 106599006,Acanthameba astronyxise 302556001 removed: 2004-07-31Acanthamoeba astronyxis 53781001Acanthamoeba castellanii 91540007Acanthamoeba comandoni 417253007Acanthamoeba culbertsoni 12949005Acanthamoeba divionensis 417053001Acanthamoeba griffini 416324000Acanthamoeba hatchetti 307306003Acanthamoeba healyi 416192004Acanthamoeba jacobsi 417363002Acanthamoeba lenticulata 417278006Acanthamoeba lugdunensis 416364001Acanthamoeba mauritaniensis 417752003Acanthamoeba palestinensis 307305004Acanthamoeba pearcei 416222004Acanthamoeba polyphaga 26290001Acanthamoeba pustulosa 416649005Acanthamoeba quina 416866009Acanthamoeba rhysodes 307307007Acanthamoeba royreba 417100007Acanthamoeba species 372401005 removed: 2015-01-31Acanthamoeba stevensoni 417307003Acanthamoeba terricola 417400000Acanthamoeba triangularis 417498003Acanthamoeba trophozoite 698163006 removed: 2018-07-31Acanthamoeba tubiashi 417225007Genus Acanthamoeba cyst 444612005Genus Acanthamoeba trophozoite 699398006,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Kingdom Protozoa 417396000 Sarcodina 50942005 Class Lobosa 417341006 Order Amoebida 106597008 Acanthamoebidae 106599006 Acanthamoeba 50875003,sorted most to least specificAcanthamoebidae 106599006Order Amoebida 106597008Class Lobosa 417341006Sarcodina 50942005Kingdom Protozoa 417396000Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
2,SNOMED code,name,status,date introduced,fully specified name(s),synonyms,parents,hierarchies,ancestors,cpt crosswalks,
3,91088000,Pseudallescheria boydii,active,2002-01-31,Pseudallescheria boydii (organism),Pseudoallescheria boydiiAllescheria boydiiPetriellidum boydiiAcladium castellaniPseudallescheria boydiiPetriellidium boydii,Pseudoallescheria 54930009Pseudallescheria boydii and/or Scedosporium boydii complex 724026001,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Ascomycota 415098006 Pezizomycotina 418751008 Sordariomycetes 415900007 Hypocreomycetidae 736095004 Microascales 426593001 Microascaceae 426381006 Pseudoallescheria 54930009 Pseudallescheria boydii 91088000SNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Dematiaceae 106570001 Pseudallescheria boydii and/or Scedosporium boydii complex 724026001 Pseudallescheria boydii 91088000,sorted most to least specificPseudoallescheria 54930009Pseudallescheria boydii and/or Scedosporium boydii complex 724026001Microascaceae 426381006Form family Dematiaceae 106570001Microascales 426593001Form class Hyphomycetes 106568005Hypocreomycetidae 736095004Deuteromycete 45970004Sordariomycetes 415900007Phylum Deuteromycota 106565008Pezizomycotina 418751008Ascomycota 415098006Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
5,24305000,Scedosporium boydii,active,2002-01-31,Scedosporium boydii (organism),Acladium castellaniiScedosporium boydii,Scedosporium 31901009Pseudallescheria boydii and/or Scedosporium boydii complex 724026001,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Dematiaceae 106570001 Scedosporium 31901009 Scedosporium boydii 24305000SNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Phylum Deuteromycota 106565008 Deuteromycete 45970004 Form class Hyphomycetes 106568005 Form family Dematiaceae 106570001 Pseudallescheria boydii and/or Scedosporium boydii complex 724026001 Scedosporium boydii 24305000,sorted most to least specificScedosporium 31901009Pseudallescheria boydii and/or Scedosporium boydii complex 724026001Form family Dematiaceae 106570001Microascaceae 426381006Form class Hyphomycetes 106568005Microascales 426593001Deuteromycete 45970004Hypocreomycetidae 736095004Phylum Deuteromycota 106565008Sordariomycetes 415900007Pezizomycotina 418751008Ascomycota 415098006Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
7,63996006,Acremonium,active,2002-01-31,Acremonium (organism),AcremoniumCephalosporiumAcremonium species,Mitosporic Ascomycota 418566009Plectosphaerellaceae 736097007,Acremonium alabamensis 83075006Acremonium atrogriseum 781107001Acremonium blochii 699501007Acremonium cereale 4511000146104Acremonium chrysogenum 736093006Acremonium coenophialum 4112004Acremonium curvulum 781255006Acremonium falciforme 243483007Acremonium furcatum 736092001Acremonium fusidioides 736091008Acremonium granulomatis 60431005Acremonium hyalinulum 781138000Acremonium implicatum 717988009Acremonium loliae 3728005Acremonium madurae 243485000Acremonium persicinum 736090009Acremonium potroni 36128004Acremonium recifei 654006Acremonium restrictum 736089000Acremonium roseogriseum 51373008Acremonium species 115992008 removed: 2015-01-31Acremonium spinosum 781248009Acremonium tubakii 736088008Acremonium vitellinum 736087003,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Ascomycota 415098006 Mitosporic Ascomycota 418566009 Acremonium 63996006SNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Ascomycota 415098006 Pezizomycotina 418751008 Sordariomycetes 415900007 Hypocreomycetidae 736095004 Glomerellales 736096003 Plectosphaerellaceae 736097007 Acremonium 63996006,sorted most to least specificPlectosphaerellaceae 736097007Mitosporic Ascomycota 418566009Glomerellales 736096003Hypocreomycetidae 736095004Sordariomycetes 415900007Pezizomycotina 418751008Ascomycota 415098006Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
9,83075006,Acremonium alabamensis,active,2002-01-31,Acremonium alabamensis (organism),Acremonium alabamensis,Acremonium 63996006,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Ascomycota 415098006 Mitosporic Ascomycota 418566009 Acremonium 63996006 Acremonium alabamensis 83075006,sorted most to least specificAcremonium 63996006Mitosporic Ascomycota 418566009Plectosphaerellaceae 736097007Glomerellales 736096003Hypocreomycetidae 736095004Sordariomycetes 415900007Pezizomycotina 418751008Ascomycota 415098006Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
11,243484001,Sarocladium kiliense,active,2002-01-31,Sarocladium kiliense (organism),Cephalosporium kilienseAcremonium kilienseSarocladium kiliense,Sarocladium 418905001,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Ascomycota 415098006 Mitosporic Ascomycota 418566009 Sarocladium 418905001 Sarocladium kiliense 243484001,sorted most to least specificSarocladium 418905001Mitosporic Ascomycota 418566009Ascomycota 415098006Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
13,36128004,Acremonium potroni,active,2002-01-31,Acremonium potroni (organism),Acremonium potroniiCephalosporium potroniiAcremonium potroni,Acremonium 63996006,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Ascomycota 415098006 Mitosporic Ascomycota 418566009 Acremonium 63996006 Acremonium potroni 36128004,sorted most to least specificAcremonium 63996006Mitosporic Ascomycota 418566009Plectosphaerellaceae 736097007Glomerellales 736096003Hypocreomycetidae 736095004Sordariomycetes 415900007Pezizomycotina 418751008Ascomycota 415098006Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
17,654006,Acremonium recifei,active,2002-01-31,Acremonium recifei (organism),Acremonium recifeiCephalosporium recifei,Acremonium 63996006,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Domain Eukarya 415671008 Fungi 414561005 Ascomycota 415098006 Mitosporic Ascomycota 418566009 Acremonium 63996006 Acremonium recifei 654006,sorted most to least specificAcremonium 63996006Mitosporic Ascomycota 418566009Plectosphaerellaceae 736097007Glomerellales 736096003Hypocreomycetidae 736095004Sordariomycetes 415900007Pezizomycotina 418751008Ascomycota 415098006Fungi 414561005Domain Eukarya 415671008Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
